highlight: Could not validate files:
.\syntax_test_keywords_deprecated.nim line 11, column 0: got kwa instead of std
.\syntax_test_keywords_deprecated.nim line 13, column 0: got kwa instead of std
.\syntax_test_keywords_deprecated.nim line 43, column 0: got kwa instead of std
.\syntax_test_keywords_deprecated.nim line 45, column 0: got kwa instead of std
.\syntax_test_numerals.nim line 28, column 13: got std instead of num
.\syntax_test_numerals.nim line 28, column 14: got std instead of num
.\syntax_test_numerals.nim line 28, column 15: got std instead of num
.\syntax_test_numerals.nim line 28, column 16: got std instead of num
.\syntax_test_numerals.nim line 28, column 17: got std instead of num
.\syntax_test_numerals.nim line 30, column 13: got std instead of num
.\syntax_test_numerals.nim line 30, column 14: got std instead of num
.\syntax_test_numerals.nim line 30, column 15: got std instead of num
.\syntax_test_numerals.nim line 30, column 16: got std instead of num
.\syntax_test_numerals.nim line 30, column 17: got std instead of num
.\syntax_test_numerals.nim line 34, column 13: got std instead of num
.\syntax_test_numerals.nim line 34, column 14: got std instead of num
.\syntax_test_numerals.nim line 34, column 15: got std instead of num
.\syntax_test_numerals.nim line 34, column 16: got std instead of num
.\syntax_test_numerals.nim line 34, column 17: got std instead of num
.\syntax_test_type-suffixes.nim line 37, column 15: got num instead of str
.\syntax_test_type-suffixes.nim line 37, column 16: got num instead of str
